city,rank,image,region,country,stadium,capacity,home_team,location
Pyongyang,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/250px-Arirang_Mass_Games_12.JPG,East Asia,North Korea,Rungrado 1st of May Stadium,0,Korea DPR national football team  Korea DPR women's national football team  April 25,"[39.0496732, 125.7753215]"
Ann Arbor  Michigan,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Real_Madrid_vs._Manchester_United_August_2nd%2C_2014.jpg/250px-Real_Madrid_vs._Manchester_United_August_2nd%2C_2014.jpg,North America,United States,Michigan Stadium,0,Michigan Wolverines football,"[42.2658749, -83.7486841]"
Columbus  Ohio,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Panoramic_view_of_Ohio_Stadium.jpg/250px-Panoramic_view_of_Ohio_Stadium.jpg,North America,United States,Ohio Stadium,0,Ohio State Buckeyes football,"[40.0016458, -83.0197374]"
Melbourne  Victoria,4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/250px-MCG_Panorama_24_July_2015.jpg,Oceania,Australia,Melbourne Cricket Ground,0,Australia national cricket team  Victoria cricket team  Melbourne Cricket Club  Melbourne Stars  Melbourne FC  Richmond FC  Collingwood FC  Hawthorn FC,"[-37.819909, 144.983225]"
Barcelona  Catalonia,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg/250px-Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg,Europe,Spain,Camp Nou,0,FC Barcelona,"[41.3807673, 2.1158684]"
Johannesburg  Gauteng,6,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/250px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,Africa,South Africa,FNB Stadium,0,South Africa national football team  Kaizer Chiefs,"[-26.2347063, 27.9826439]"
New Administrative Capital,7,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,Egypt,New Admin­is­trative Capital Stadium,0,Egypt national football team,"[29.8921738, 31.673227]"
Pasadena  California,8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/250px-Rose_Bowl%2C_panorama.jpg,North America,United States,Rose Bowl Stadium,0,UCLA Bruins,"[34.1613492, -118.1676674]"
Dallas  Texas,9,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/250px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,North America,United States,Cotton Bowl Stadium,0,Dallas Trinity FC,"[32.7796119, -96.7596025]"
London  England,10,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/250px-Post_L2_Play-Off_Final.jpg,Europe,England,Wembley Stadium,0,England national football team,"[51.5560695, -0.2796034]"
